"","ARGP820101","ARGP820102","ARGP820103","BEGF750102","BHAR880101","BIOV880101","BIOV880102","BROC820101","BROC820102","BULH740101","CHAM820102","CHOC760102","CHOC760103","CHOC760104","CHOP780204","CIDH920101","CIDH920102","CIDH920103","CIDH920104","CIDH920105","DESM900101","DESM900102","EISD840101","EISD860101","EISD860102","EISD860103","FASG760102","FASG760105","FAUJ830101","FAUJ880108","FAUJ880109","FAUJ880110","FAUJ880111","FAUJ880112","FINA910101","FINA910103","FINA910104","GOLD730101","GRAR740101","GRAR740102","GUYH850101","HOPA770101","HOPT810101","ISOY800107","JANJ780101","JANJ780102","JANJ780103","JANJ790101","JANJ790102","JOND750101","JOND750102","KARP850101","KARP850102","KHAG800101","KLEP840101","KRIW790101","KRIW790102","KRIW710101","KYTJ820101","LAWE840101","LEVM760101","MANP780101","MEEJ800101","MEEJ800102","MEEJ810101","MEEJ810102","MEIH800101","MEIH800102","MEIH800103","MIYS850101","NAKH900104","NAKH900106","NAKH900108","NAKH900110","NAKH900113","NISK800101","NISK860101","NOZY710101","OOBM770101","OOBM770103","OOBM850103","OOBM850105","PALJ810111","PARJ860101","PLIV810101","PONP800101","PONP800102","PONP800103","PONP800104","PONP800105","PONP800106","PONP800107","PONP800108","PRAM820101","PRAM900101","QIAN880114","QIAN880115","QIAN880116","QIAN880126","QIAN880127","QIAN880128","RACS820101","RACS820103","RACS770101","RACS770102","RACS770103","RADA880101","RADA880102","RADA880104","RADA880105","RADA880107","RADA880108","RICJ880104","RICJ880105","RICJ880106","RICJ880108","RICJ880111","ROBB760102","ROBB790101","ROSG850102","ROSM880101","ROSM880102","ROSM880103","SIMZ760101","SNEP660102","SUEM840102","SWER830101","TANS770106","TANS770108","VASM830102","VASM830103","VELV850101","VENT840101","VHEG790101","WARP780101","WERD780101","WERD780103","WERD780104","WOEC730101","WOLR810101","WOLS870101","YUTK870101","YUTK870102","YUTK870103","YUTK870104","ZIMJ680101","ZIMJ680103","ZIMJ680104","ZIMJ680105"
"1",0.61,1.18,1.56,0.77,0.357,16,44,7.3,3.9,-0.2,-0.368,25,0.38,0.2,1.29,-0.45,-0.08,0.36,0.17,0.02,1.56,1.26,0.25,0.67,0,0,297,2.34,0.31,-0.01,0,0,0,0,1,1.2,1,0.75,0,8.1,0.1,1,-0.5,1.34,27.8,51,15,1.7,0.3,0.87,2.34,1.041,0.946,49.1,0,4.32,0.28,4.6,1.8,-0.48,-0.5,12.97,0.5,-0.1,1.1,1,0.93,0.94,87,2.36,-0.6,-0.57,-0.7,0.34,1.61,0.23,-0.22,0.5,-1.895,-0.491,0.46,4.55,0.82,2.1,-2.89,12.28,7.62,2.63,13.65,14.6,10.67,3.7,6.05,0.305,-6.7,-0.18,-0.01,-0.19,-0.06,-0.05,-0.19,0.85,0.82,0.934,0.941,1.16,1.81,0.52,1.29,1.42,-0.29,-0.06,1.2,1.6,1,1.4,1.3,2.3,-1,0.74,-0.67,-0.67,0.4,0.73,0.33,8,-0.4,0.937,0.328,0.507,0.159,0.03731,0,-12.04,10.04,0.52,0.15,-0.07,7,1.94,0.07,8.5,6.8,18.08,18.56,0.83,0,6,9.9
"2",0.6,0.2,0.45,0.72,0.529,-70,-68,-3.6,3.2,-0.12,-1.03,90,0.01,0,0.44,-0.24,-0.09,-0.52,-0.7,-0.42,0.59,0.38,-1.76,-2.1,10,-0.96,238,1.82,-1.01,0.04,4,3,1,0,0.7,1.7,1.7,0.75,0.65,10.5,1.91,2.3,3,2.78,94.7,5,67,0.1,-1.4,0.85,1.18,1.038,1.028,133,1,6.55,0.34,6.5,-4.5,-0.06,3,11.72,0.8,-4.5,-0.4,-2,0.98,1.09,81,1.92,-1.18,-1.29,-0.91,-0.57,0.4,-0.26,-0.93,0,-1.475,-0.554,-1.54,5.97,0.99,4.2,-3.3,11.49,6.81,2.45,11.28,13.24,11.05,2.53,5.7,0.227,51.5,-0.13,0.02,0.03,0.02,0.06,0.17,2.02,2.6,0.962,1.112,1.72,-14.92,-1.32,-13.6,-18.6,-2.71,-0.84,0.7,0.9,0.4,1.2,0.8,-5.2,0.3,0.64,12.1,3.89,0.3,0.73,-0.176,0.1,-0.59,1.725,2.088,0.459,0.194,0.09593,0,39.23,6.18,0.49,-0.37,-0.4,9.1,-19.92,2.88,0,0,0,0,0.83,52,10.76,4.6
"3",0.06,0.23,0.27,0.55,0.463,-74,-72,-5.7,-2.8,0.08,0,63,0.12,0.03,0.81,-0.2,-0.7,-0.9,-0.9,-0.77,0.51,0.59,-0.64,-0.6,1.3,-0.86,236,2.02,-0.6,0.06,2,3,0,0,1.7,1.2,1,0.69,1.33,11.6,0.48,2.2,0.2,0.92,60.1,22,49,0.4,-0.5,0.09,2.02,1.117,1.006,-3.6,0,6.24,0.31,5.9,-3.5,-0.87,0.2,11.42,0.8,-1.6,-4.2,-3,0.98,1.04,70,1.7,0.39,0.02,1.28,-0.27,0.73,-0.94,-2.65,0,-1.56,-0.382,1.31,5.56,1.27,7,-3.41,11,6.17,2.27,12.24,11.79,10.85,2.12,5.04,0.322,20.1,0.28,0.41,0.02,0.1,0,-0.38,0.88,2.07,0.986,1.038,1.97,-6.64,-0.01,-6.63,-9.67,-1.18,-0.48,0.7,0.7,0.7,1.2,0.6,0.3,-0.7,0.63,7.23,2.27,0.9,-0.01,-0.233,0.1,-0.92,1.08,1.498,0.287,0.385,0.00359,0,4.25,5.63,0.42,0.69,-0.57,10,-9.68,3.22,8.2,6.2,17.47,18.24,0.09,3.38,5.41,5.4
"4",0.46,0.05,0.14,0.65,0.511,-78,-91,-2.9,-2.8,-0.2,2.06,50,0.15,0.04,2.02,-1.52,-0.71,-1.09,-1.05,-1.04,0.23,0.27,-0.72,-1.2,1.9,-0.98,270,1.88,-0.77,0.15,1,4,0,1,3.2,0.7,0.7,0,1.38,13,0.78,6.5,3,1.77,60.6,19,50,0.4,-0.6,0.66,2.01,1.033,1.089,0,-1,6.04,0.33,5.7,-3.5,-0.75,2.5,10.85,-8.2,-2.8,-1.6,-0.5,1.01,1.08,71,1.67,-1.36,-1.54,-0.93,-0.56,0.75,-1.13,-4.12,0,-1.518,-0.356,-0.33,2.85,0.98,10,-3.38,10.97,6.18,2.29,10.98,13.78,10.21,2.6,4.95,0.335,38.5,0.05,-0.09,-0.06,0.24,0.15,0.09,1.5,2.64,0.994,1.071,2.66,-8.72,0,0,0,-1.02,-0.8,0.8,2.6,2.2,0.6,0.5,7.4,-1.2,0.62,8.72,1.57,0.8,0.54,-0.371,70,-1.31,1.64,3.379,0.223,0.283,0.1263,0,23.22,5.76,0.37,-0.22,-0.8,13,-10.95,3.64,8.5,7,17.36,17.94,0.64,49.7,2.77,2.8
"5",1.07,1.89,1.23,0.65,0.346,168,90,-9.2,-14.3,-0.45,4.53,19,0.45,0.22,0.66,0.79,0.76,0.7,1.24,0.77,1.8,1.6,0.04,0.38,0.17,0.76,178,1.92,1.54,0.12,0,0,0,0,1,1,1,1,2.75,5.5,-1.42,0.1,-1,1.44,15.5,74,5,4.6,0.9,1.52,1.65,0.96,0.878,0,0,1.73,0.11,-1,2.5,-0.32,-1,14.63,-6.8,-2.2,7.1,4.6,0.88,0.84,104,3.36,-0.34,-0.3,-0.41,-0.32,0.37,1.78,4.66,0,-2.035,-0.67,0.2,-0.78,0.71,1.4,-2.49,14.93,10.93,3.36,14.49,15.9,14.15,3.03,7.86,0.339,-8.4,-0.26,-0.27,-0.29,-0.19,0.3,0.41,0.9,0,0.9,0.866,0.5,1.28,0,0,0,0,1.36,0.8,1.2,0.6,1.6,0.7,0.8,2.1,0.91,-0.34,-2,0.5,0.7,0.074,26,0.17,1.004,0,0.592,0.187,0.08292,0,3.95,8.89,0.83,-0.19,0.17,5.5,-1.24,0.71,11,8.3,18.17,17.84,1.48,1.48,5.05,2.8
"6",0,0.72,0.51,0.72,0.493,-73,-117,-0.3,1.8,0.16,0.731,71,0.07,0.01,1.22,-0.99,-0.4,-1.05,-1.2,-1.1,0.39,0.39,-0.69,-0.22,1.9,-1,185,2.17,-0.22,0.05,2,3,0,0,1,1,1,0.59,0.89,10.5,0.95,2.1,0.2,0.79,68.7,16,56,0.3,-0.7,0,2.17,1.165,1.025,20,0,6.13,0.39,6.1,-3.5,-0.32,0.2,11.76,-4.8,-2.5,-2.9,-2,1.02,1.11,66,1.75,-0.71,-0.71,-0.71,-0.34,0.61,-0.57,-2.76,0,-1.521,-0.405,-1.12,4.15,1.01,6,-3.15,11.28,6.67,2.45,11.3,12.02,11.71,2.7,5.45,0.306,17.2,0.21,0.01,0.02,-0.04,-0.08,0.04,1.71,0,1.047,1.15,3.87,-5.54,-0.07,-5.47,-9.31,-1.53,-0.73,0.7,0.8,1.5,1.4,0.2,-0.7,-0.1,0.62,6.39,2.12,0.7,-0.1,-0.254,33,-0.91,1.078,0,0.383,0.236,0.07606,0,2.16,5.41,0.35,-0.06,-0.26,8.6,-9.38,2.18,6.3,8.5,17.93,18.51,0,3.53,5.65,9
"7",0.47,0.11,0.23,0.55,0.497,-106,-139,-7.1,-7.5,-0.3,1.77,49,0.18,0.03,2.44,-0.8,-1.31,-0.83,-1.19,-1.14,0.19,0.23,-0.62,-0.76,3,-0.89,249,2.1,-0.64,0.07,1,4,0,1,1.7,0.7,0.7,0,0.92,12.3,0.83,6.2,3,2.54,68.2,16,55,0.3,-0.7,0.67,2.19,1.094,1.036,0,-1,6.17,0.37,5.6,-3.5,-0.71,2.5,11.89,-16.9,-7.5,0.7,1.1,1.02,1.12,72,1.74,-1.16,-1.17,-1.13,-0.43,1.5,-0.75,-3.64,0,-1.535,-0.371,0.48,5.16,0.54,7.8,-2.94,11.19,6.38,2.31,12.55,13.59,11.71,3.3,5.1,0.282,34.3,-0.06,0.09,-0.1,-0.04,-0.02,-0.2,1.79,2.62,0.986,1.1,2.4,-6.81,-0.79,-6.02,-9.45,-0.9,-0.77,2.2,2,3.3,0.9,0.7,10.3,-0.7,0.62,7.35,1.78,1.3,0.55,-0.409,6,-1.22,0.679,0,0.445,0.206,0.0058,0,16.81,5.37,0.38,0.14,-0.63,12.5,-10.2,3.08,8.8,4.9,18.16,17.97,0.65,49.9,3.22,3.2
"8",0.07,0.49,0.62,0.65,0.544,-13,-8,-1.2,-2.3,0,-0.525,23,0.36,0.18,0.76,-1,-0.84,-0.82,-0.57,-0.8,1.03,1.08,0.16,0,0,0,290,2.35,0,0,0,0,0,0,1,0.8,1.5,0,0.74,9,0.33,1.1,0,0.95,24.5,52,10,1.8,0.3,0.1,2.34,1.142,1.042,64.6,0,6.09,0.28,7.6,-0.4,0,0,12.43,0,-0.5,-0.2,0.2,1.01,1.01,90,2.06,-0.37,-0.48,-0.12,0.48,3.12,-0.07,-1.62,0,-1.898,-0.534,0.64,9.14,0.94,5.7,-3.25,12.01,7.31,2.55,15.36,14.18,10.95,3.13,6.16,0.352,-4.2,0.23,0.13,0.19,0.17,-0.14,0.28,1.54,1.63,1.015,1.055,1.63,0.94,0,0.94,2.39,-0.34,-0.41,0.3,0.9,0.6,0.6,0.5,-5.2,0.3,0.72,0,0,0,0,0.37,0.1,-0.67,0.901,0.5,0.39,0.049,0.00499,0,-7.85,7.99,0.41,0.36,0.27,7.9,2.39,2.23,7.1,6.4,18.24,18.57,0.1,0,5.97,5.6
"9",0.61,0.31,0.29,0.83,0.323,50,47,-2.1,2,-0.12,0,43,0.17,0.02,0.73,1.07,0.43,0.16,-0.25,0.26,1,1,-0.4,0.64,0.99,-0.75,277,1.82,0.13,0.08,1,1,1,0,1,1.2,1,0,0.58,10.4,-0.5,2.8,-0.5,0,50.7,34,34,0.8,-0.1,0.87,1.82,0.982,0.952,75.7,0,5.66,0.23,4.5,-3.2,-0.51,-0.5,12.16,-3.5,0.8,-0.7,-2.2,0.89,0.92,90,2.41,0.08,0.1,0.04,-0.19,0.46,0.11,1.28,0.5,-1.755,-0.54,-1.31,4.48,1.26,2.1,-2.84,12.84,7.85,2.57,11.59,15.35,12.07,3.57,5.8,0.215,12.6,0.24,0.22,-0.16,0.19,-0.07,-0.19,1.59,0,0.882,0.911,0.86,-4.66,0.95,-5.61,-11.22,-0.94,0.49,0.7,0.7,0.7,0.9,1.9,-2.8,1.1,0.78,3.82,1.09,1,1.1,-0.078,0.1,-0.64,1.085,1.204,0.31,0.233,0.02415,0,6.28,7.49,0.7,-0.25,-0.49,8.4,-10.27,2.41,10.1,9.2,18.49,18.64,1.1,51.6,7.59,8.2
"10",2.22,1.45,1.67,0.98,0.462,151,100,6.6,11,-2.26,0.791,18,0.6,0.19,0.67,0.76,1.39,2.17,2.06,1.81,1.27,1.44,0.73,1.9,1.2,0.99,284,2.36,1.8,-0.01,0,0,0,0,0.6,0.8,1,2.95,0,5.2,-1.13,0.8,-1.8,0.52,22.8,66,13,3.1,0.7,3.15,2.36,1.002,0.892,18.9,0,2.31,0.12,2.6,4.5,0.81,-1.8,15.67,13.9,11.8,8.5,7,0.79,0.76,105,4.17,1.44,1.31,1.77,0.39,1.61,1.19,5.58,1.8,-1.951,-0.762,3.28,2.1,1.67,-8,-1.72,14.77,9.99,3.08,14.63,14.1,12.95,7.69,7.51,0.278,-13,-0.42,-0.27,-0.08,-0.2,0.26,-0.06,0.67,2.32,0.766,0.742,0.57,4.92,2.04,2.88,0.11,0.24,1.31,0.9,0.7,0.4,0.9,1.6,-4,4,0.88,-3.02,-3.02,0.4,2.97,0.149,55,1.25,0.178,2.078,0.111,0.581,0,1,-18.32,8.72,0.79,0.02,0.06,4.9,2.15,-4.44,16.8,10,18.62,19.21,3.07,0.13,6.02,17.1
